Date,Open,High,Low,Close,Volume,OpenInt
6/26/2014,90.207,90.216,89.503,90.197,23352062,0
6/27/2014,90.073,90.605,90.053,90.595,23674732,0
6/30/2014,90.555,90.972,90.517,90.75,20443779,0
7/1/2014,91.04,91.986,91.031,91.745,32968082,0
7/2/2014,91.783,92.034,91.716,91.898,19438536,0
7/3/2014,92.191,92.48,91.947,92.48,15824292,0
7/7/2014,92.371,92.49,92.024,92.2,24071444,0
7/8/2014,92.034,92.092,90.712,91.088,42023871,0
7/9/2014,91.328,91.872,91.07,91.764,30965106,0
7/10/2014,90.623,91.853,90.478,91.476,45786561,0
7/11/2014,91.687,92.062,91.427,92.062,20248698,0
7/14/2014,92.48,92.826,92.324,92.615,20248923,0
7/15/2014,92.748,92.894,91.638,92.296,40851182,0
7/16/2014,92.954,93.06,92.565,92.664,22821250,0
7/17/2014,92.41,92.739,91.146,91.437,44583516,0
7/18/2014,91.938,92.934,91.803,92.884,37966294,0
7/21/2014,92.692,92.924,92.334,92.767,30788383,0
7/22/2014,93.193,93.505,93.109,93.359,26660089,0
7/23/2014,93.676,94.063,93.515,93.958,29933798,0
7/24/2014,94.121,94.228,93.716,93.852,25540654,0
7/25/2014,93.398,93.607,92.993,93.485,30942510,0
7/28/2014,93.541,93.755,92.787,93.515,26471830,0
7/29/2014,93.706,93.929,93.271,93.349,27953078,0
7/30/2014,93.862,94.044,93.349,93.716,36571058,0
7/31/2014,92.964,93.099,91.687,91.823,51762911,0
8/1/2014,91.638,92.132,90.874,91.486,62813837,0
8/4/2014,91.707,92.47,91.338,92.112,34379181,0
8/5/2014,91.745,92.006,90.981,91.407,52078389,0
8/6/2014,90.827,91.908,90.759,91.338,35579330,0
8/7/2014,91.755,91.938,90.731,91.05,34429489,0
8/8/2014,91.203,91.813,90.807,91.707,41639365,0
8/11/2014,92.043,92.537,91.996,92.248,29262943,0
8/12/2014,92.171,92.45,91.735,92.209,29133332,0
8/13/2014,92.585,93.221,92.537,93.183,28952351,0
8/14/2014,93.291,93.686,93.183,93.666,25862094,0
8/15/2014,94.181,94.344,93.231,94.121,57118164,0
8/18/2014,94.595,94.932,94.48,94.849,40283112,0
8/19/2014,95.07,95.436,95.01,95.379,22097565,0
8/20/2014,95.29,95.571,95.214,95.379,24205370,0
8/21/2014,95.436,95.618,95.28,95.571,19998597,0
8/22/2014,95.608,95.909,95.398,95.715,25553767,0
8/25/2014,96.172,96.326,95.825,96.053,24950384,0
8/26/2014,96.182,96.258,95.929,96.152,20790024,0
8/27/2014,96.182,96.288,95.967,96.172,16133032,0
8/28/2014,95.864,96.182,95.745,96.063,24378536,0
8/29/2014,96.297,96.544,95.929,96.417,18530798,0
9/2/2014,96.672,96.729,96.307,96.701,18966161,0
9/3/2014,96.942,96.961,95.957,96.132,26842619,0
9/4/2014,96.373,96.845,95.805,96.043,25515405,0
9/5/2014,96.228,96.582,95.696,96.525,31871449,0
9/8/2014,96.525,96.952,96.268,96.711,26466474,0
9/9/2014,96.691,97.08,95.725,95.909,37674621,0
9/10/2014,96.034,96.739,95.765,96.701,32157474,0
9/11/2014,96.288,96.672,95.899,96.622,29750084,0
9/12/2014,96.535,96.562,95.835,96.132,31505287,0
9/15/2014,96.238,96.248,94.904,95.204,34106661,0
9/16/2014,94.857,96.219,94.75,96.034,39492636,0
9/17/2014,96.024,96.632,95.598,96.182,38494395,0
9/18/2014,96.466,96.912,96.373,96.902,31233264,0
9/19/2014,97.31,97.41,96.457,96.845,48401678,0
9/22/2014,96.612,96.622,95.527,95.943,50224840,0
9/23/2014,95.574,96.109,95.49,95.681,35079506,0
9/24/2014,95.77,96.76,95.45,96.711,37096434,0
9/25/2014,96.407,96.525,94.635,94.675,70827870,0
9/26/2014,94.973,95.86,94.822,95.681,57925230,0
9/29/2014,94.733,95.82,94.684,95.556,34418426,0
9/30/2014,95.82,96.188,95.236,95.691,43185320,0
10/1/2014,95.45,95.519,93.862,94.162,60032648,0
10/2/2014,94.142,94.452,92.962,94.162,56242742,0
10/3/2014,94.694,95.48,94.384,95.093,42965112,0
10/6/2014,95.383,95.623,94.597,94.888,37199596,0
10/7/2014,94.433,94.713,93.533,93.541,46582596,0
10/8/2014,93.627,95.663,93.048,95.363,67017562,0
10/9/2014,95.246,95.48,93.676,93.825,64360236,0
10/10/2014,93.27,93.795,91.46,91.48,80074202,0
10/13/2014,91.332,92.012,89.967,90.044,83406445,0
10/14/2014,90.665,91.216,89.803,90.054,74118631,0
10/15/2014,88.68,89.851,87.411,89.474,112345638,0
10/16/2014,87.594,89.675,87.555,88.911,96165702,0
10/17/2014,90.074,90.945,89.56,90.084,71784346,0
10/20/2014,90.044,91.509,89.89,91.431,42756362,0
10/21/2014,92.544,93.834,92.331,93.834,55314845,0
10/22/2014,94.113,94.249,93.29,93.348,40435210,0
10/23/2014,94.268,95.275,94.122,94.753,49668740,0
10/24/2014,94.888,95.594,94.577,95.527,44556067,0
10/27/2014,95.313,95.77,94.944,95.594,30502258,0
10/28/2014,95.99,97.06,95.971,97.04,35611881,0
10/29/2014,96.711,96.98,95.99,96.682,41865702,0
10/30/2014,96.254,97.118,96.03,96.883,37099214,0
10/31/2014,98.477,98.556,97.903,98.216,56010614,0
11/3/2014,98.347,98.762,98.244,98.507,34493093,0
11/4/2014,98.177,98.427,97.518,98.177,23488025,0
11/5/2014,98.792,98.826,97.856,98.187,26619639,0
11/6/2014,98.138,98.526,97.769,98.497,25462581,0
11/7/2014,98.663,98.703,97.903,98.407,21606529,0
11/10/2014,98.457,98.886,98.197,98.752,21013734,0
11/11/2014,98.772,99.071,98.507,99.071,15942320,0
11/12/2014,98.663,99.352,98.663,99.241,22760545,0
11/13/2014,99.432,100.04,99.201,99.67,28927897,0
11/14/2014,99.64,99.98,99.312,99.98,19862153,0
11/17/2014,99.74,99.97,99.201,99.68,24113588,0
11/18/2014,99.76,100.57,99.75,100.44,27181613,0
11/19/2014,100.33,100.33,99.51,99.97,24506669,0
11/20/2014,99.54,100.52,99.472,100.43,23601359,0
11/21/2014,101.31,101.4,100.3,100.61,35150092,0
11/24/2014,100.88,101.44,100.8,101.39,18485922,0
11/25/2014,101.55,101.86,101.29,101.55,18090997,0
11/26/2014,101.65,102.28,101.54,102.22,19582601,0
11/28/2014,102.47,102.9,102.43,102.68,17922463,0
12/1/2014,102.42,102.6,101.15,101.52,37130441,0
12/2/2014,101.63,102.12,101.41,101.94,26868484,0
12/3/2014,102.1,102.27,101.47,102.12,34039578,0
12/4/2014,102.02,102.47,101.64,102.08,32003157,0
12/5/2014,102.24,102.4,101.85,102.09,26449917,0
12/8/2014,101.82,102.27,100.81,101.34,33738581,0
12/9/2014,100.17,101.75,99.8,101.67,47520436,0
